word_help;id;ask;toask;Question;Шаг 1;Шаг 2;Шаг 3;Шаг 4;Шаг 5;Шаг 6;Шаг 7;Шаг 8;Шаг 9;Шаг 10;Шаг 11;Шаг 12;Шаг 13;Шаг 14
подключить sms уведомление;24;Карты;SMS-уведомления;Как подключить SMS-уведомления;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Выберите раздел «SMS-инфо».;Выберите нужную карту и нажмите «Подключить».;Введите номер телефона для получения SMS-уведомлений;Введите SMS-код для подтверждения;Услуга «SMS-инфо» подключена; ; ; ; ; ; ; ; 
отключить sms уведомление;26;Карты;SMS-уведомления;Как отключить SMS-уведомления;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Выберите раздел «SMS-инфо»;Выберите нужную карту и нажмите «Отключить / изменить номер»;В открывшемся окне нажмите «Отключить»;Введите SMS-код для подтверждения;Услуга «SMS-инфо» отключена; ; ; ; ; ; ; ; 
поменять номер sms уведомление;28;Карты;SMS-уведомления;Как поменять номер для SMS-уведомлений;Перейдите в настройки — нажмите на имя со значком шестеренки в верхнем правом углу;Выберите раздел «SMS-инфо»;Выберите нужную карту и нажмите «Отключить / изменить номер»;В открывшемся окне нажмите «Изменить» рядом с номером телефона;Введите номер телефона для получения SMS-уведомлений;Введите SMS-код для подтверждения;Вы изменили номер. Обратите внимание! Изменения будут действовать только для услуги SMS-уведомлений и для подтверждения покупок в интернете. Для полной смены номера нужно обратиться в офис или в Контактный центр по телефону 8-800-444-44-00; ; ; ; ; ; ; 
посмотреть информация тариф карта;30;Карты;Тарифы;Как посмотреть информацию о тарифе по карте;На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту. Ссылка на тариф отображается под названием карты;Чтобы узнать о тарифе подробнее, нажмите на синюю иконку со стрелкой. Страница с информацией о тарифе откроется в новой вкладке браузера; ; ; ; ; ; ; ; ; ; ; ; 
узнать баланс бонусный рубль;32;Программа лояльности;Баланс;Как узнать баланс бонусных рублей;На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Показать операции и детали»;Ниже отобразится баланс бонусных рублей; ; ; ; ; ; ; ; ; ; ; ; 
узнать сколько бонус быть начислить текущий месяц;35;Программа лояльности;Начисления;Как узнать, сколько бонусов будет начислено за текущий месяц;Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем;В новом окне отобразится количество бонусов к начислению за текущий месяц при выполнении текущих условий, и сколько будет начислено, если будут выполнены все условия; ; ; ; ; ; ; ; ; ; ; ; 
узнать текущий программа лояльность;37;Программа лояльности;Условия;Как узнать текущую программу лояльности;Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем;На открывшейся странице отобразятся текущие условия программы лояльности и баланс бонусных рублей.; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть статус выполнение условие программа лояльность текущий месяц;39;Программа лояльности;Выполнение условий;Как посмотреть статус выполнения условий по программе лояльности в текущем месяце;Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем;На открывшейся странице отобразится выполнение условий программы лояльности в текущем месяце. Важно! Информация о выполнении условий отображается с задержкой в несколько дней.; ; ; ; ; ; ; ; ; ; ; ; 
выбрать изменить условие программа лояльность;41;Программа лояльности;Выбор условий;Как выбрать или изменить условия программы лояльности;Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем;На открывшейся странице нажмите на «Выбор условий»;Слева выберите подходящие условия программы лояльности;Нажмите «Активировать»;В открывшемся окне отобразится дата перехода на новые условия. Подтвердите, нажав «Активировать»;Новая условия программы лояльности начнут действовать с 1-го числа следующего месяца. Нажмите «Готово».    Если у вас новая карта и вы еще не успели совершить по ней никаких покупок, то условия начнут действовать уже в текущем месяце; ; ; ; ; ; ; ; 
потратить бонусный рубль;43;Программа лояльности;Операции с бонусными рублями;Как потратить бонусные рубли;Нажмите на баланс бонусных рублей в верхней части сайта рядом с вашим именем;На открывшейся странице нажмите на «Потратить бонусы»;Выберите, какую покупку вы хотите компенсировать. Чтобы просмотреть все покупки, доступные для компенсации, нажмите «Показать все». Бонусными рублями можно компенсировать покупку от 1500 рублей или услугу SMS-инфо. Компенсация покупки происходит из расчета 1 бонус = 1 рубль. это должна быть покупка от 1500 рублей или услуга SMS-инфо. Компенсация покупки происходит из расчета 1 бонус = 1 рубль;Перетащите покупку в окно «Покупка для компенсации» и нажмите «Компенсировать»;Нажмите «Ок». Покупка успешно компенсирована. Пополнение счета отобразится в операциях по карте.; ; ; ; ; ; ; ; ; 
пополнить карта;45;Карты;Пополнение ;Как пополнить карту;На вкладке «Мои продукты» в разделе «Карты» выберите нужную карту и нажмите «Пополнить».;Выберите способ пополнения: с карты другого банка или со своей карты или счета.;Укажите, с какой карты или счета списать деньги. Введите сумму пополнения и нажмите «Перевести».;Введите SMS-код для подтверждения.;Если операция прошла успешно, вы попадете на экран с подтверждением перевода.;Перевод принят в обработку. Обратите внимание, при пополнении с карты другого банка деньги могут идти в течение нескольких дней.; ; ; ; ; ; ; ; 
пополнить карта свой карта счёт;47;Карты;Пополнение ;Как пополнить карту со своей карты или счета;На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Пополнить».;Выберите «Со своей карты или счета».;Выберите карту или счет, откуда хотите пополнить, и куда зачислить деньги. Введите сумму перевода. Нажмите «Перевести».;Нажмите «Подтвердить».;Перевод принят в обработку. Вы можете повторить платеж, создать шаблон, автоплатеж или посмотреть квитанцию.; ; ; ; ; ; ; ; ; 
пополнить карта карта другой банк;49;Карты;Пополнение ;Как пополнить карту с карты другого банка;На вкладке «Мои продукты» в разделе «Карты» выберите карту и нажмите «Пополнить».;Выберите «С карты другого банка».;Введите номер карты, срок действия карты и СVC/CVV, выберите карту для зачисления, введите сумму, нажмите «Перевести»;Введите SMS-код для подтверждения;Если операция прошла успешно, вы попадете на экран с подтверждением перевода.;Перевод принят в обработку.; ; ; ; ; ; ; ; 
добавить карта другой банк;51;Карты других банков;Добавление;Как добавить карту других банков;На вкладке «Мои продукты» в разделе «Карты» нажмите «Добавить карту другого банка».;Введите номер карты, срок действия, придумайте название и нажмите «Добавить карту».;Карта успешно добавлена;Карта отобразится на вкладке «Мои продукты» в разделе «Карты»; ; ; ; ; ; ; ; ; ; 
пополнить привязать карта другой банк;53;Карты других банков;Пополнение ;Как пополнить привязанную карту другого банка;На вкладке «Мои продукты» в разделе «Карты» выберите карту другого банка и нажмите «Пополнить».;Выберите откуда будете переводить деньги, введите сумму перевода и нажмите «Перевести».;Введите SMS-код для подтверждения;Перевод принят в обработку; ; ; ; ; ; ; ; ; ; 
узнать уже выплаченый сумма кредит;55;Кредиты;Выплаченная задолженность;Как узнать уже выплаченую сумму по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит.;Выпплаченная сумма задолженности по кредиту указана под шкалой прогресса.; ; ; ; ; ; ; ; ; ; ; ; 
узнать дата следующий ежемесячный платёж кредит;57;Кредиты;Дата платежа;Как узнать дату следующего ежемесячного платежа по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит.;Дата следующего ежемесячного платежа по кредиту указана над шкалой прогресса.; ; ; ; ; ; ; ; ; ; ; ; 
узнать сумма следующий платёж кредит;59;Кредиты;Сумма платежа ;Как узнать сумму следующего платежа по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный кредит.;Сумма следующего ежемесячного платежа по кредиту указана над шкалой прогресса; ; ; ; ; ; ; ; ; ; ; ; 
узнать процентный ставка кредит;61;Кредиты;Процентная ставка;Как узнать процентную ставку по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит;Процентная ставка и срок кредита указаны под названием кредита; ; ; ; ; ; ; ; ; ; ; ; 
узнать сколько остаться выплатить кредит какой сумма остаться выплатить кредит;63;Кредиты;Остаток задолженности;Как узнать, сколько осталось выплатить по кредиту/ Какую сумму осталось выплатить по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит;Сумма к погашению указана справа от названия кредита; ; ; ; ; ; ; ; ; ; ; ; 
внести платёж кредит;65;Кредиты;Внесение платежа;Как внести платеж по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «Внести»;Введите данные карты, с которой хотите пополнить, счет, сумму платежа и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку. Вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию; ; ; ; ; ; ; ; ; ; 
полностью досрочно погасить кредит;71;Кредиты;Полное досрочное погашение;Как полностью досрочно погасить кредит;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «Досрочное погашение»;Выберите вкладку «Полное»;Выберите дату полного досрочного погашения кредита и нажмите «Создать заявку»;Введите SMS-код;Заявка создана; ; ; ; ; ; ; ; ; 
посмотреть история операция кредит;73;Кредиты;История операций;Как посмотреть историю операций по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит, нажмите «Показать операции и детали»;Ниже отобразятся все последние операции по кредиту. Чтобы посмотреть операции по счету погашения, нажмите на выделенную ссылку «по счету для погашения»;В новом окне отразятся все последние операции по счету погашения. Чтобы вернуться в операции по кредиту, нажмите на выделенную ссылку «кредиту»; ; ; ; ; ; ; ; ; ; ; 
посмотреть реквизит кредит;75;Кредиты;Реквизиты;Как посмотреть реквизиты кредита;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «О кредите»;В новом окне на вкладке «Информация» отобразятся реквизиты кредита; ; ; ; ; ; ; ; ; ; ; ; 
отправить реквизит кредит;77;Кредиты;Реквизиты;Как отправить реквизиты кредита;Данную операцию можно выполнить в мобильном банке; ; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть график платёж кредит;79;Кредиты;График платежей;Как посмотреть график платежей по кредиту;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный кредит и нажмите «График платежей»;В новом окне появится график платежей по кредиту; ; ; ; ; ; ; ; ; ; ; ; 
узнать какой сумма остаться выплатить ипотека;81;Ипотека;Остаток задолженности;Как узнать, какую сумму осталось выплатить по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный ипотечный кредит.;Сумма к погашению указана справа от названия ипотечного кредита; ; ; ; ; ; ; ; ; ; ; ; 
внести платёж ипотека;83;Ипотека;Внесение платежа;Как внести платеж по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «Внести»;Выберите карту или счет, с которой хотите внести платеж, счет для погашения кредита, сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Платеж принят в обработку. Для удобства вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию; ; ; ; ; ; ; ; ; ; 
частично погасить ипотека досрочно;87;Ипотека;Частичное досрочное погашение;Как частично погасить ипотеку досрочно;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «Досрочное погашение»;На вкладке «Частичное» введите сумму и нажмите «Создать заявку».;Введите SMS-код для подтверждения;Заявка создана. Не забудьте пополнить счет погашения кредита на необходимую сумму до даты списания ежемесячного платежа; ; ; ; ; ; ; ; ; ; 
полностью погасить ипотека досрочно;89;Ипотека;Полное досрочное погашение;Как полностью погасить ипотеку досрочно;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «Досрочное погашение»;Выберите вкладку «Полное»;Выберите дату списания суммы полного досрочного погашения кредита. При необходимости отметьте галочкой графу «подготовить документы для снятия обременения». Нажмите «Создать заявку»;Введите SMS-код;Заявка создана; ; ; ; ; ; ; ; ; 
получить справка выплатить процент ипотека;91;Ипотека;Справки и выписки;Как получить справку о выплаченных процентах по ипотеке;На вкладке «Мои продукты» в разделе «Кредиты» найдите нужный ипотечный кредит, затем нажмите «О кредите» или «Ещё»;Нажмите «Справки»;Нажмите «О выплаченных процентах».;Выберите, за какой период оформить справку: за определенный год или за произвольный период.;Нажмите «Скачать», чтобы сохранить справку, или «Отправить по e-mail», чтобы переслать ее электронную почту.; ; ; ; ; ; ; ; ; 
узнать реквизит ипотека;93;Ипотека;Реквизиты;Как узнать реквизиты ипотеки;На вкладке «Мои продукты» в разделе «Кредиты» выберите нужный ипотечный кредит и нажмите «О кредите»;В новом окне отобразится информация о кредите и реквизиты; ; ; ; ; ; ; ; ; ; ; ; 
отправить реквизит ипотека;95;Ипотека;Реквизиты;Как отправить реквизиты по ипотеке;Данную операцию можно выполнить в мобильном банке; ; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть ставка ипотека;97;Ипотека;Процентная ставка;Как посмотреть ставку по ипотеке;На вкладке «Мои продукты» найдите ипотечный кредит, ставка по нему указана под названием кредита; ; ; ; ; ; ; ; ; ; ; ; ; 
открыть вклад;101;Вклады;Открытие ;Как открыть вклад;На вкладке «Мои продукты» откройте раздел «Вклады» (находится под разделом «Карты»);Нажмите «Открыть новый вклад»;Выберите валюту, сумму, срок размещения и способ начисления процентов: в конце срока вклада, в начале срока вклада или ежемесячно. Выберите тип вклада и нажмите «Выбрать»;Выберите карту для пополнения вклада, проверьте выбранные условия и нажмите «Открыть вклад»;Введите SMS-код для подтверждения операции;Запрос на открытие вклада принят в обработку. В течение нескольких минут он повится в списке ваших вкладов.; ; ; ; ; ; ; ; 
я получить доход процент вклад;103;Вклады;Доход по вкладу;Когда я получу доход по процентам вклада;На вкладке «Мои продукты» откройте раздел «Вклады» и выберите нужный вклад. Нажмите «Показать операции и детали»;В открывшемся окне указана сумма и дата следующего зачисления процентов; ; ; ; ; ; ; ; ; ; ; ; 
сколько я получить следующий начисление процент вклад;105;Вклады;Доход по вкладу;Сколько я получу после следующего начисления процентов по вкладу;На вкладке «Мои продукты» откройте раздел «Вклады» и выберите нужный вклад. Нажмите «Показать операции и детали»;В открывшемся окне указана сумма и дата следующего зачисления; ; ; ; ; ; ; ; ; ; ; ; 
пополнить вклад;109;Вклады;Пополнение ;Как пополнить вклад;На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Пополнить»;Укажите «Откуда» будете пополнять вклад и «Куда» зачислить средства. Ввведите сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку. На этом экране можно также создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию; ; ; ; ; ; ; ; ; ; 
посмотреть история операция вклад;113;Вклады;История операций;Как посмотреть историю операций по вкладу;На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Показать операции и детали»;На открывшейся вкладке отобразятся все операции по вкладу; ; ; ; ; ; ; ; ; ; ; ; 
узнать реквизит вклад;115;Вклады;Реквизиты;Как узнать реквизиты вклада;На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Реквизиты»;В новом окне отразятся реквизиты вклада. Их можно скопировать, нажав «Скопировать все»; ; ; ; ; ; ; ; ; ; ; ; 
отправить реквизит вклад;117;Вклады;Реквизиты;Как отправить реквизиты вклада;На вкладке «Мои продукты» откройте раздел «Вклады» и выберите нужный вклад и нажмите «Реквизиты»;На экране появятся реквизиты вклада.  В интернет-банке нет возможности отправки реквизитов, но их можно скопировать. Для этого нажмите «Скопировать все». Вставьте скопированные реквизиты в почту или мессенджер; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть тариф вклад;119;Вклады;Тарифы;Как посмотреть тариф по вкладу;На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Показать операции и детали»;Нажмите «Тариф» в верхнем левом углу;По ссылке в новом окне браузера откроется подробная информация об условиях и ставках по вкладу; ; ; ; ; ; ; ; ; ; ; 
закрыть вклад;121;Вклады;Закрытие;Как закрыть вклад;На вкладке «Мои продукты» откройте раздел «Вклады», выберите нужный вклад и нажмите «Закрыть вклад»;Ознакомьтесь с информацией, выберите счет для перечисления средств или откройте новый, нажмите «Закрыть вклад»;Введите SMS-код для подтверждения операции;Вклад успешно закрыт. Деньги поступят на счет в течение нескольких часов.; ; ; ; ; ; ; ; ; ; 
открыть накопительный счёт;125;Накопительные счета;Открытие ;Как открыть накопительный счет;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные»;Пролистайте страницу вниз, найдите поле с текстом «Накопительный – до 8% годовых» и нажмите «+»;Выберите валюту, введите сумму первоначального пополнения, выберите предполагаемый срок накопления. Нажмите «Выбрать» напротив счета (»Накопительный» или «Моя копилка»), который хотите открыть;Введите сумму пополнения, выберите источник списания средств, нажмите «Открыть счет»;Введите SMS-код для подтверждения;Накопительный счет открыт. Он появится в списке продуктов в интернет-банке через несколько минут; ; ; ; ; ; ; ; 
пополнить накопительный счёт;127;Накопительные счета;Пополнение ;Как пополнить накопительный счет;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет и нажмите «Пополнить»;Выберите откуда будете переводить деньги для пополнения вклада и куда их зачислить, введите сумму и нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку. Вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию; ; ; ; ; ; ; ; ; ; 
посмотреть баланс накопительный счёт;129;Накопительные счета;Баланс;Как посмотреть баланс накопительного счета;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет. Баланс счета указан напротив его названия; ; ; ; ; ; ; ; ; ; ; ; ; 
снять средство накопительный счёт;131;Накопительные счета;Снятие;Как снять средства с накопительного счета;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный вклад и нажмите «Снять»;Выберите карту или счет, на который нужно вывести средства. Нажмите «Перевести»;Нажмите «Подтвердить»;Перевод принят в обработку. Вы можете создать шаблон, автоплатеж, посмотреть квитанцию или повторить операцию; ; ; ; ; ; ; ; ; ; 
узнать процентный ставка накопительный счёт;133;Накопительные счета;Процентная ставка;Как узнать процентную ставку накопительного счета;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный вклад и нажмите «Показать операции и детали»;В открывшейся вкладке будет указана процентная ставка; ; ; ; ; ; ; ; ; ; ; ; 
посмотреть операция накопительный счёт;135;Накопительные счета;История операций;Как посмотреть операции по накопительному счету;Перейдите в раздел «Мои продукты».;В разделе «Счета» нажмите «Накопительные» и найдите нужный счет.;Нажмите «Показать операции и детали» — ниже отобразятся все операции по счету.; ; ; ; ; ; ; ; ; ; ; 
узнать реквизит накопительный счёт;137;Накопительные счета;Реквизиты;Как узнать реквизиты накопительного счета;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет и нажмите «Реквизиты»;В новом окне появятся реквизиты счета. Вы можете скопировать отдельные строки или все реквизиты счета. Для этого нажмите «Скопировать все»; ; ; ; ; ; ; ; ; ; ; ; 
отправить реквизит накопительный счёт;139;Накопительные счета;Реквизиты;Как отправить реквизиты накопительного счета;На вкладке «Мои продукты» откройте раздел «Счета» и нажмите «Накопительные». Выберите нужный счет и нажмите «Реквизиты»;На экране появятся реквизиты счета  Для копирования отдельных строк нажмите на иконку копирования справа или нажмите «Скопировать все». Вставьте реквизиты в сообщение электронной почты или мессенджер; ; ; ; ; ; ; ; ; ; ; ; 
узнать баланс металлический счёт;161;Металлические счета;Баланс;Как узнать баланс металлического счета;На вкладке «Мои продукты» откройте раздел «Счета», нажмите «Металлические» и выберите нужный счет. Баланс металлического счета в граммах отобразится справа от его названия;Чтобы узнать текущую стоимость остатка в рублях, нажмите на иконку вопросительного знака рядом с балансом металлического счета в граммах; ; ; ; ; ; ; ; ; ; ; ; 
пополнить металлический счёт;163;Металлические счета;Пополнение ;Как пополнить металлический счет;На вкладке «Мои продукты» откройте раздел «Счета», нажмите «Металлические»;Выберите нужный счет и нажмите «Купить»;Укажите источник пополнения в поле «Откуда», введите сумму и нажмите «Купить»;Нажмите «Подтвердить»;Перевод принят в обработку. Если вам нужна квитанция об операции, нажмите на иконку «Квитанция» внизу окна; ; ; ; ; ; ; ; ; 
